agent_id,first_name,last_name,market_id,buyer_customers_sent_2024,seller_customers_sent_2024,buyer_closes_2024,seller_closes_2024,customer_reviews_2024,avg_rating_2024
hiroshi_thompson_560,Hiroshi,Thompson,cleveland_oh,69,131,18,18,5,4.11
ali_nelson_663,Ali,Nelson,phoenix_az,24,226,4,32,1,2.94
kwame_singh_576,Kwame,Singh,salt_lake_city_ut,141,73,16,25,6,2.58
hao_jackson_527,Hao,Jackson,st_louis_mo,7,272,1,40,6,2
camila_mohamed_261,Camila,Mohamed,kansas_city_mo,132,35,14,10,1,2.74
daniel_kim_165,Daniel,Kim,fresno_ca,27,225,5,30,1,2.39
christopher_smith_23,Christopher,Smith,miami_fl,125,154,23,21,1,3.94
mina_garcia_547,Mina,Garcia,richmond_va,41,32,5,8,1,3.37
camila_nguyen_189,Camila,Nguyen,philadelphia_pa,95,34,21,8,5,2.6
malik_mitchell_314,Malik,Mitchell,detroit_mi,147,97,27,48,7,3.24
tanya_young_212,Tanya,Young,las_vegas_nv,160,67,27,11,6,3.2
yuki_ramirez_397,Yuki,Ramirez,philadelphia_pa,90,51,10,15,3,2.69
ebony_garcia_320,Ebony,Garcia,miami_fl,46,208,13,27,5,4.18
daniel_white_267,Daniel,White,cincinnati_oh,14,128,2,46,5,3.66
patricia_carter_948,Patricia,Carter,new_york_ny,150,288,15,34,3,4.12
emily_green_392,Emily,Green,providence_ri,106,92,18,22,1,4.22
asha_torres_989,Asha,Torres,cincinnati_oh,225,4,25,1,2,4.03
yuki_ali_72,Yuki,Ali,fresno_ca,167,231,28,49,11,3.44
arjun_robinson_452,Arjun,Robinson,atlanta_ga,45,181,6,44,7,2.92
kenji_kim_889,Kenji,Kim,boston_ma,224,415,24,42,3,2.14
robert_hill_774,Robert,Hill,philadelphia_pa,57,6,10,1,2,4.1
mohammed_green_496,Mohammed,Green,st_louis_mo,259,165,26,49,3,3.45
minh_ali_996,Minh,Ali,atlanta_ga,197,8,21,1,3,3.23
lakshmi_evans_926,Lakshmi,Evans,atlanta_ga,189,108,23,11,4,3.33
linda_nguyen_790,Linda,Nguyen,portland_or,29,274,4,38,2,4.4
kenji_hernandez_461,Kenji,Hernandez,baltimore_md,49,311,13,48,12,3.21
layla_white_873,Layla,White,portland_or,20,153,5,35,6,3.12
jennifer_torres_76,Jennifer,Torres,san_jose_ca,152,5,26,1,3,3.31
ana_thompson_488,Ana,Thompson,pittsburgh_pa,20,22,3,3,1,2.87
ebony_nelson_385,Ebony,Nelson,virginia_beach_va,46,290,6,50,8,4.48
kenji_smith_102,Kenji,Smith,san_jose_ca,93,50,14,5,3,2.48
matthew_lopez_685,Matthew,Lopez,indianapolis_in,61,197,16,23,3,3.59
mina_hill_351,Mina,Hill,fresno_ca,164,113,19,42,9,4.56
layla_young_476,Layla,Young,sacramento_ca,263,10,28,4,5,2.18
john_gonzalez_78,John,Gonzalez,boston_ma,152,125,26,16,2,2.9
elizabeth_abdullah_554,Elizabeth,Abdullah,minneapolis_mn,13,166,3,29,2,3.06
imani_robinson_461,Imani,Robinson,birmingham_al,168,99,18,10,2,3.09
david_hassan_310,David,Hassan,austin_tx,108,40,29,17,3,2.64
robert_garcia_953,Robert,Garcia,riverside_ca,77,21,8,9,1,3.44
keisha_ramirez_99,Keisha,Ramirez,portland_or,107,430,17,47,4,4.34
juan_harris_759,Juan,Harris,raleigh_nc,209,141,24,19,1,3.14
michael_lewis_922,Michael,Lewis,orlando_fla,168,375,24,42,12,3.82
tanya_perez_957,Tanya,Perez,new_york_ny,222,67,24,10,3,2.41
wei_adams_970,Wei,Adams,grand_rapids_mi,152,67,26,17,7,4.34
latoya_thompson_977,Latoya,Thompson,orlando_fl,195,16,29,4,3,3.07
christopher_garcia_933,Christopher,Garcia,new_york_ny,167,292,20,33,2,2.66
barbara_young_959,Barbara,Young,detroit_mi,144,130,24,44,7,4.98
linda_khan_144,Linda,Khan,pittsburgh_pa,115,85,24,14,3,4.08
john_washington_637,John,Washington,nashville_tn,29,110,3,35,5,2.62
