customer_id,created_at,first_name,last_name,address,city,state,zip_code,market_id,assigned_agent
1,2025-01-01 0:56:00,James,Butt,957 Sunset Ave,Fresno,CA,90272,fresno_ca,yuki_ali_72
2,2025-01-01 2:31:00,Josephine,Darakjy,1864 Pine Ct,Phoenix,AZ,85575,phoenix_az,sofia_smith_808
3,2025-01-01 3:19:00,Art,Venere,5542 Ridge St,Tampa,FL,32138,tampa_fl,mina_carter_615
4,2025-01-01 4:44:00,Lenna,Paprocki,5624 Wilson Dr,Louisville,KY,40251,louisville_ky,amanda_khan_445
5,2025-01-01 5:36:00,Donette,Foller,2783 Oak Ct,Cincinnati,OH,43899,cincinnati_oh,zainab_garcia_38
6,2025-01-01 6:18:00,Simona,Morasca,9891 Adams Ave,Milwaukee,WI,53323,milwaukee_wi,patricia_mitchell_756
7,2025-01-01 6:21:00,Mitsue,Tollner,7445 Cedar St,Cleveland,OH,43683,cleveland_oh,arjun_ramirez_306
8,2025-01-01 7:05:00,Leota,Dilliard,2429 Elm St,Orlando,FL,32933,orlando_fl,camila_williams_913
9,2025-01-01 7:08:00,Sage,Wieser,7155 Roosevelt Pl,Seattle,WA,98480,seattle_wa,asha_ramirez_876
10,2025-01-01 7:20:00,Kris,Marrier,702 Park Dr,Baltimore,MD,21820,baltimore_md,arjun_martinez_306
11,2025-01-01 8:02:00,Minna,Amigon,8012 Lake Way,Baltimore,MD,21539,baltimore_md,lakshmi_young_759
12,2025-01-01 8:16:00,Abel,Maclead,9353 Ridge St,Buffalo,NY,10914,buffalo_ny,lucia_williams_206
13,2025-01-01 8:30:00,Kiley,Caldarera,8500 Jefferson Ter,Austin,TX,75815,austin_tx,ana_ramirez_788
14,2025-01-01 8:38:00,Graciela,Ruta,9873 Jackson Ter,Minneapolis,MN,55429,minneapolis_mn,richard_young_275
15,2025-01-01 8:45:00,Cammy,Albares,6236 Franklin St,Cleveland,OH,43185,cleveland_oh,ali_hall_3
16,2025-01-01 8:51:00,Mattie,Poquette,1453 Jackson Ln,Phoenix,AZ,85342,phoenix_az,kenji_abdullah_855
17,2025-01-01 9:10:00,Meaghan,Garufi,5620 Wilson Ct,Cleveland,OH,43740,cleveland_oh,arjun_ramirez_306
18,2025-01-01 9:23:00,Gladys,Rim,7583 Adams Way,Baltimore,MD,21016,baltimore_md,mohammed_carter_639
19,2025-01-01 9:39:00,Yuki,Whobrey,3197 Roosevelt Ave,Dallas,TX,75372,dallas_tx,asha_johnson_74
20,2025-01-01 9:44:00,Fletcher,Flosi,310 Lincoln Rd,Buffalo,NY,10544,buffalo_ny,aya_gonzalez_760
21,2025-01-01 10:01:00,Bette,Nicka,8308 Pine Ln,Richmond,VA,22987,richmond_va,john_walker_849
22,2025-01-01 10:01:00,Veronika,Inouye,3923 Wilson Pl,Portland,OR,97157,portland_or,michael_hall_387
23,2025-01-01 10:01:00,Willard,Kolmetz,8888 Madison Ct,Cincinnati,OH,43045,cincinnati_oh,mei_ali_590
24,2025-01-01 10:01:00,Maryann,Royster,266 Elm Pl,St. Louis,MO,63021,st_louis_mo,aya_kim_578
25,2025-01-01 10:07:00,Alisha,Slusarski,4300 Lincoln Ln,Portland,OR,97649,portland_or,darnell_king_828
26,2025-01-01 10:12:00,Allene,Iturbide,6987 Oak Ave,Cincinnati,OH,43064,cincinnati_oh,joseph_garcia_322
27,2025-01-01 10:16:00,Chanel,Caudy,8461 Lincoln Ave,Las Vegas,NV,89443,las_vegas_nv,tanya_scott_254
28,2025-01-01 10:18:00,Ezekiel,Chui,240 Wilson Ct,Jacksonville,FL,32559,jacksonville_fl,linda_martinez_176
29,2025-01-01 10:25:00,Willow,Kusko,6722 Oak Dr,Chicago,IL,60978,chicago_il,joseph_hall_30
30,2025-01-01 10:32:00,Bernardo,Figeroa,7841 Pine Ter,Providence,RI,2424,providence_ri,ahmad_jones_606
31,2025-01-01 10:41:00,Ammie,Corrio,5807 Oak Blvd,San Francisco,CA,90065,san_francisco_ca,dorothy_robinson_743
32,2025-01-01 10:45:00,Francine,Vocelka,2459 Lincoln Rd,Cincinnati,OH,43844,cincinnati_oh,hiroshi_baker_812
33,2025-01-01 10:51:00,Ernie,Stenseth,1036 Franklin Ct,San Antonio,TX,75313,san_antonio_tx,elizabeth_lopez_67
34,2025-01-01 11:00:00,Albina,Glick,2494 Park Ct,Atlanta,GA,30129,atlanta_ga,hana_hall_914
35,2025-01-01 11:02:00,Alishia,Sergi,8864 Ridge Ter,St. Louis,MO,63644,st_louis_mo,luis_mohamed_915
36,2025-01-01 11:07:00,Solange,Shinko,2832 Roosevelt Ct,San Diego,CA,90063,san_diego_ca,matthew_white_444
